Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,infeasible,100.0,100.0,100.0,0.0,0.83,0.83,0.001,0.001062,100.0,100.0,100.0,0.0,1.9,1.9,0.0015,0.000651,2.77,0.0018,0.000587,1.0,0.0022,0.00212
10x10,infeasible,100.0,100.0,100.0,0.0,3.37,3.37,0.0031,0.000913,100.0,100.0,100.0,0.0,4.63,4.63,0.0029,0.00064,6.7,0.008,0.001179,4.33,0.0034,0.000966
15x15,infeasible,100.0,100.0,100.0,0.0,7.77,7.77,0.0068,0.000799,100.0,100.0,100.0,0.0,8.23,8.23,0.0047,0.000617,13.93,0.0221,0.001645,8.53,0.0053,0.000793
20x20,infeasible,100.0,100.0,100.0,0.0,13.33,13.33,0.013,0.001012,100.0,100.0,100.0,0.0,12.47,12.47,0.0065,0.00049,20.37,0.0387,0.001904,12.47,0.003,0.000244
25x25,infeasible,100.0,100.0,100.0,0.0,14.93,14.93,0.0134,0.00085,100.0,100.0,100.0,0.0,14.6,14.6,0.0102,0.000702,25.53,0.0624,0.002442,15.63,0.0022,0.0002
30x30,infeasible,100.0,100.0,100.0,0.0,23.07,23.07,0.0234,0.000996,100.0,100.0,100.0,0.0,22.27,22.27,0.0111,0.000513,39.13,0.1032,0.002648,23.17,0.0031,0.000156
40x40,infeasible,100.0,100.0,100.0,0.0,30.67,30.67,0.0345,0.001138,100.0,100.0,100.0,0.0,30.37,30.37,0.0172,0.00057,61.97,0.2099,0.003402,34.4,0.0036,0.000109
50x50,infeasible,100.0,100.0,100.0,0.0,44.6,44.6,0.0675,0.00147,100.0,100.0,100.0,0.0,52.97,52.97,0.0331,0.000606,96.03,0.4019,0.00423,48.27,0.0047,0.000105
50x60,infeasible,100.0,100.0,100.0,0.0,49.27,49.27,0.0607,0.001227,100.0,100.0,100.0,0.0,59.8,59.8,0.0436,0.000728,115.9,0.4609,0.00399,54.73,0.0061,0.000111
60x60,infeasible,100.0,100.0,100.0,0.0,56.93,56.93,0.0798,0.001394,90.0,90.0,90.0,10.0,87.41,178.67,0.1301,0.000709,137.2,0.6945,0.005089,58.73,0.0042,7e-05
